2224	BCL6	573	DNAH9	0.974684	0.000000
1284	HSP90AA1	1275	HRAS	0.966245	0.000000
1356	IL2RA	1275	HRAS	0.966245	0.000000
1357	IL2RG	1275	HRAS	0.966245	0.000000
1377	IRS1	1275	HRAS	0.966245	0.000000
1392	JAK1	1275	HRAS	0.966245	0.000000
1394	JUN	1275	HRAS	0.966245	0.000000
1418	KRAS	1275	HRAS	0.901712	0.000000
1424	KRT18	1275	HRAS	0.966245	0.000000
1541	MLLT4	1275	HRAS	0.966245	0.000000
1551	MOV10	1275	HRAS	0.966245	0.000000
1564	MSH2	1275	HRAS	0.966245	0.000000
1615	NF1	1275	HRAS	0.933491	0.000000
1632	NRAS	1275	HRAS	0.404120	0.000000
1663	PAK3	1275	HRAS	0.966245	0.000000
1702	SPTBN5	1275	HRAS	0.966245	0.000000
1722	PDGFRB	1275	HRAS	0.966245	0.000000
1758	PIK3CA	1275	HRAS	0.933491	0.000000
1759	PIK3CB	1275	HRAS	0.966245	0.000000
1760	PIK3CD	1275	HRAS	0.966245	0.000000
1761	PIK3CG	1275	HRAS	0.966245	0.000000
1762	PIK3R1	1275	HRAS	0.966245	0.000000
2165	SPTBN4	1275	HRAS	0.966245	0.000000
2175	PTPRJ	1275	HRAS	0.966245	0.000000
2197	RGL2	1275	HRAS	0.966245	0.000000
2205	RASGRF2	1275	HRAS	0.966245	0.000000
2222	RGS12	1275	HRAS	0.966245	0.000000
2278	GFRA4	1275	HRAS	0.966245	0.000000
2314	SHC1	1275	HRAS	0.966245	0.000000
2373	SOS1	1275	HRAS	0.966245	0.000000
2382	SPTA1	1275	HRAS	0.901712	0.000000
2383	SPTAN1	1275	HRAS	0.966245	0.000000
2385	SRC	1275	HRAS	0.966245	0.000000
2388	BRAF	1275	HRAS	0.000660	0.000000
2422	TEK	1275	HRAS	0.933491	0.000000
2449	TP53	1275	HRAS	0.933491	0.000000
2677	ESX1	1275	HRAS	0.966245	0.000000
2690	CAMK2A	1275	HRAS	0.966245	0.000000
2694	CAMK2B	1275	HRAS	0.966245	0.000000
2696	SNX27	1275	HRAS	0.966245	0.000000
2878	IRS2	1275	HRAS	0.966245	0.000000
3058	NRG2	1275	HRAS	0.966245	0.000000
1275	HRAS	1284	HSP90AA1	0.966245	0.000000
1275	HRAS	1356	IL2RA	0.966245	0.000000
1275	HRAS	1357	IL2RG	0.966245	0.000000
1275	HRAS	1377	IRS1	0.966245	0.000000
1275	HRAS	1392	JAK1	0.966245	0.000000
1275	HRAS	1394	JUN	0.966245	0.000000
1275	HRAS	1418	KRAS	0.901712	0.000000
1275	HRAS	1424	KRT18	0.966245	0.000000
1275	HRAS	1541	MLLT4	0.966245	0.000000
1275	HRAS	1551	MOV10	0.966245	0.000000
1275	HRAS	1564	MSH2	0.966245	0.000000
1275	HRAS	1615	NF1	0.933491	0.000000
1275	HRAS	1632	NRAS	0.404120	0.000000
1663	PAK3	1632	NRAS	0.894515	0.000000
1702	SPTBN5	1632	NRAS	0.894515	0.000000
1722	PDGFRB	1632	NRAS	0.894515	0.000000
1758	PIK3CA	1632	NRAS	0.799757	0.000000
1759	PIK3CB	1632	NRAS	0.894515	0.000000
1760	PIK3CD	1632	NRAS	0.894515	0.000000
1761	PIK3CG	1632	NRAS	0.894515	0.000000
2165	SPTBN4	1632	NRAS	0.894515	0.000000
2197	RGL2	1632	NRAS	0.894515	0.000000
2205	RASGRF2	1632	NRAS	0.894515	0.000000
2222	RGS12	1632	NRAS	0.894515	0.000000
2278	GFRA4	1632	NRAS	0.894515	0.000000
2314	SHC1	1632	NRAS	0.894515	0.000000
2373	SOS1	1632	NRAS	0.894515	0.000000
2382	SPTA1	1632	NRAS	0.714676	0.000000
2383	SPTAN1	1632	NRAS	0.894515	0.000000
2388	BRAF	1632	NRAS	0.000000	0.000000
2422	TEK	1632	NRAS	0.799757	0.000000
2690	CAMK2A	1632	NRAS	0.894515	0.000000
2694	CAMK2B	1632	NRAS	0.894515	0.000000
2878	IRS2	1632	NRAS	0.894515	0.000000
3058	NRG2	1632	NRAS	0.894515	0.000000
1275	HRAS	1663	PAK3	0.966245	0.000000
1632	NRAS	1663	PAK3	0.894515	0.000000
1275	HRAS	1702	SPTBN5	0.966245	0.000000
1632	NRAS	1702	SPTBN5	0.894515	0.000000
1275	HRAS	1722	PDGFRB	0.966245	0.000000
1632	NRAS	1722	PDGFRB	0.894515	0.000000
1275	HRAS	1758	PIK3CA	0.933491	0.000000
1632	NRAS	1758	PIK3CA	0.799757	0.000000
1275	HRAS	1759	PIK3CB	0.966245	0.000000
1632	NRAS	1759	PIK3CB	0.894515	0.000000
1275	HRAS	1760	PIK3CD	0.966245	0.000000
1632	NRAS	1760	PIK3CD	0.894515	0.000000
1275	HRAS	1761	PIK3CG	0.966245	0.000000
1632	NRAS	1761	PIK3CG	0.894515	0.000000
1275	HRAS	1762	PIK3R1	0.966245	0.000000
1275	HRAS	2165	SPTBN4	0.966245	0.000000
1632	NRAS	2165	SPTBN4	0.894515	0.000000
1275	HRAS	2175	PTPRJ	0.966245	0.000000
1275	HRAS	2197	RGL2	0.966245	0.000000
1632	NRAS	2197	RGL2	0.894515	0.000000
1275	HRAS	2205	RASGRF2	0.966245	0.000000
1632	NRAS	2205	RASGRF2	0.894515	0.000000
1275	HRAS	2222	RGS12	0.966245	0.000000
1632	NRAS	2222	RGS12	0.894515	0.000000
573	DNAH9	2224	BCL6	0.974684	0.000000
1275	HRAS	2278	GFRA4	0.966245	0.000000
1632	NRAS	2278	GFRA4	0.894515	0.000000
1275	HRAS	2314	SHC1	0.966245	0.000000
1632	NRAS	2314	SHC1	0.894515	0.000000
1275	HRAS	2373	SOS1	0.966245	0.000000
1632	NRAS	2373	SOS1	0.894515	0.000000
1275	HRAS	2382	SPTA1	0.901712	0.000000
1632	NRAS	2382	SPTA1	0.714676	0.000000
1275	HRAS	2383	SPTAN1	0.966245	0.000000
1632	NRAS	2383	SPTAN1	0.894515	0.000000
1275	HRAS	2385	SRC	0.966245	0.000000
